Variable Name,Description,Value/Line Reference,,Type
STATE,The state associated with the return,Two-digit state abbreviation code,,Char
AGI_STUB,Size of adjusted gross income,"0 = No AGI Stub1 = ‘Under $1’2 = '$1 under $10,000'3 = '$10,000 under $25,000'4 = '$25,000 under $50,000'5 = '$50,000 under $75,000'6 = '$75,000 under $100,000'7 = '$100,000 under $200,000'8 = ‘$200,000 under $500,000’9 = ‘$500,000 under $1,000,000’10 = ‘$1,000,000 or more’",,Num
N1,Number of returns,,,Num
MARS1,Number of single returns,Filing status is single,,Num
MARS2,Number of joint returns,Filing status is married filing jointly,,Num
MARS4,Number of head of household returns,Filing status is head of household,,Num
ELF,Number of electronically filed returns,,,Num
CREP,Number of computer prepared paper returns,,,Num
PREP,Number of returns with paid preparer's signature,,,Num
DIR_DEP,Number of returns with direct deposit,,,Num
N2,Number of individuals [3],,,Num
NUMDEP,Number of dependents,,,Num
TOTAL_VITA,Total number of volunteer prepared returns [4],,,Num
VITA,Number of volunteer income tax assistance (VITA) prepared returns [4],,,Num
MVITA,Number of military volunteer prepared returns [4],,,Num
TCE,Number of tax counseling for the elderly (TCE) prepared returns [4],,,Num
VITA_EIC,Number of volunteer prepared returns with Earned Income Credit,,,Num
RAC,Number of refund anticipation check returns,,,Num
ELDERLY,Number of elderly returns [5],,,Num
A00100,Adjust gross income (AGI) [6],1040:07:00,,Num
N02650,Number of returns with total income,1040:06:00,,Num
A02650,Total income amount,1040:06:00,,Num
N00200,Number of returns with salaries and wages,1040:01:00,,Num
A00200,Salaries and wages amount,1040:01:00,,Num
N00300,Number of returns with taxable interest,1040:2b,,Num
A00300,Taxable interest amount,1040:2b,,Num
N00600,Number of returns with ordinary dividends ,1040:3b,,Num
A00600,Ordinary dividends amount,1040:3b,,Num
N00650,Number of returns with qualified dividends,1040:3a,Num,
A00650,Qualified dividends amount [7],1040:3a,Num,
N00700,Number of returns with state and local income tax refunds,Schedule 1:10,Num,
A00700,State and local income tax refunds amount,Schedule 1:10,Num,
N00900,Number of returns with business or professional net income (less loss),Schedule 1:12,Num,
A00900,Business or professional net income (less loss) amount,Schedule 1:12,Num,
N01000,Number of returns with net capital gain (less loss),Schedule 1:13,Num,
A01000,Net capital gain (less loss) amount,Schedule 1:13,Num,
N01750,"Number of returns with taxable individual retirement arrangements (IRA), pensions and annuities",1040:4a, Num,
A01750,"Taxable IRA, pensions and annuities amount",1040:4a, Num,
SCHF,Number of farm returns,Schedule 1:18,Num,
N02300,Number of returns with unemployment compensation,Schedule 1:19,Num,
A02300,Unemployment compensation amount [8],Schedule 1:19,Num,
N02500,Number of returns with taxable Social Security benefits,1040:5b,Num,
A02500,Taxable Social Security benefits amount,1040:5b,Num,
N26270,Number of returns with partnership/S-corp net income (less loss),Schedule E:32,Num,
A26270,Partnership/S-corp net income (less loss) amount,Schedule E:32,Num,
N02900,Number of returns with total statutory adjustments,Schedule 1:36,Num,
A02900,Total statutory adjustments amount,Schedule 1:36,Num,
N03220,Number of returns with educator expenses,Schedule 1:23,Num,
A03220,Educator expenses amount,Schedule 1:23,Num,
N03300,Number of returns with self-employment retirement plans,Schedule 1:28,Num,
A03300,Self-employment retirement plans amount,Schedule 1:28,Num,
N03270,Number of returns with self-employment health insurance deduction,Schedule 1:29,Num,
A03270,Self-employment health insurance deduction amount,Schedule 1:29,Num,
N03150,Number of returns with IRA payments,Schedule 1:32,Num,
A03150,IRA payments amount,Schedule 1:32,Num,
N03210,Number of returns with student loan interest deduction,Schedule 1:33,Num,
A03210,Student loan interest deduction amount,Schedule 1:33,Num,
  N04450,Number of returns with total standard deduction,  1040:8, Num,
  A04450,Total standard deduction amount,  1040:8, Num,
  N04100,Number of returns with basic standard deduction,  1040:8, Num,
  A04100,Basic standard deduction amount,  1040:8, Num,
  N04200,Number of returns with additional standard deduction,  1040:8, Num,
  A04200,Additional standard deduction amount,  1040:8, Num,
N04470,Number of returns with itemized deductions,1040:08:00,Num,
A04470,Total itemized deductions amount,1040:08:00,Num,
N17000,Number of returns with Total medical and dental expense deduction,Schedule A:4,Num,
A17000,Total medical and dental expense deduction amount,Schedule A:4,Num,
N18425,Number of returns with State and local income taxes,Schedule A:5a,Num,
A18425,State and local income taxes amount,Schedule A:5a,Num,
N18450,Number of returns with State and local general sales tax,Schedule A:5a,Num,
A18450,State and local general sales tax amount,Schedule A:5a,Num,
N18500,Number of returns with real estate taxes,Schedule A:5b,Num,
A18500,Real estate taxes amount,Schedule A:5b,Num,
N18800,Number of returns with Personal property taxes,Schedule A:5c,Num,
A18800,Personal property taxes amount,Schedule A:5c,Num,
  N18460,Number of returns with Limited state and local taxes,  Schedule A:5e, Num,
  A18460,Limited state and local taxes,  Schedule A:5e, Num,
N18300,Number of returns with taxes paid,Schedule A:7,Num,
A18300,Taxes paid amount,Schedule A:7,Num,
N19300,Number of returns with mortgage interest paid,Schedule A:8a,Num,
A19300,Mortgage interest paid amount,Schedule A:8a,Num,
N19500,Number of returns with Home mortgage from personal seller,Schedule A:8b,Num,
A19500,Home mortgage from personal seller amount,Schedule A:8b,Num,
N19530,Number of returns with Deductible points,Schedule A:8c,Num,
A19530,Deductible points amount,Schedule A:8c,Num,
N19570,Number of returns with Investment interest paid,Schedule A:9,Num,
A19570,Investment interest paid amount,Schedule A:9,Num,
N19700,Number of returns with Total charitable contributions,Schedule A:14,Num,
A19700,Total charitable contributions amount,Schedule A:14,Num,
N20950,Number of returns with Other non-limited miscellaneous deductions,Schedule A:16,Num,
A20950,Other non-limited miscellaneous deductions amount,Schedule A:16,Num,
N04475,Number of returns with Qualified business income deduction,1040:09:00,Num,
A04475,Qualified business income deduction amount,1040:09:00,Num,
N04800,Number of returns with taxable income,1040:10:00,Num,
A04800,Taxable income amount,1040:10:00,Num,
N05800,Number of returns with income tax before credits,1040:11:00,Num,
A05800,Income tax before credits amount,1040:11:00,Num,
N09600,Number of returns with alternative minimum tax ,Schedule 2:45,Num,
A09600,Alternative minimum tax amount,Schedule 2:45,Num,
N05780,Number of returns with excess advance premium tax credit repayment,Schedule 2:46,Num,
A05780,Excess advance premium tax credit repayment amount,Schedule 2:46,Num,
N07100,Number of returns with total tax credits,1040:12:00,Num,
A07100,Total tax credits amount,1040:12:00,Num,
N07300,Number of returns with foreign tax credit,Schedule 3:48,Num,
A07300,Foreign tax credit amount,Schedule 3:48,Num,
N07180,Number of returns with child and dependent care credit,Schedule 3:49,Num,
A07180,Child and dependent care credit amount,Schedule 3:49,Num,
N07230,Number of returns with nonrefundable education credit,Schedule 3:50,Num,
A07230,Nonrefundable education credit amount,Schedule 3:50,Num,
N07240,Number of returns with retirement savings contribution credit,Schedule 3:51,Num,
A07240,Retirement savings contribution credit amount,Schedule 3:51,Num,
N07225,Number of returns with child tax credit,1040:12a,Num,
A07225,Child tax credit amount,1040:12a,Num,
N07260,Number of returns with residential energy tax credit,Schedule 3:53,Num,
A07260,Residential energy tax credit amount,Schedule 3:53,Num,
N09400,Number of returns with self-employment tax,Schedule 4:57,Num,
A09400,Self-employment tax amount,Schedule 4:57,Num,
N85770,Number of returns with total premium tax credit,8962:24:00,Num,
A85770,Total premium tax credit amount,8962:24:00,Num,
N85775,Number of returns with advance premium tax credit,8962:25:00,Num,
A85775,Advance premium tax credit amount ,8962:25:00,Num,
N09750,Number of returns with health care individual responsibility payment,Schedule 4:61,Num,
A09750,Health care individual responsibility payment amount,Schedule 4:61,Num,
N10600,Number of returns with total tax payments,1040:18:00,Num,
A10600,Total tax payments amount,1040:18:00,Num,
N59660,Number of returns with earned income credit,1040:17a,Num,
A59660,Earned income credit amount [9]  ,1040:17a,Num,
N59720,Number of returns with excess earned income credit,1040:17a,Num,
A59720,Excess earned income credit (refundable) amount [10]  ,1040:17a,Num,
N11070,Number of returns with additional child tax credit,1040:17b,Num,
A11070,Additional child tax credit amount,1040:17b,Num,
N10960,Number of returns with refundable education credit,1040:17c,Num,
A10960,Refundable education credit amount,1040:17c,Num,
N11560,Number of returns with net premium tax credit,Schedule 5:70,Num,
A11560,Net premium tax credit amount,Schedule 5:70,Num,
N06500,Number of returns with income tax after credits,1040:13:00,Num,
A06500,Income tax after credits amount   ,1040:13:00,Num,
N10300,Number of returns with tax liability,1040:15:00,Num,
A10300,Total tax liability amount [11]  ,1040:15:00,Num,
N85530,Number of returns with additional Medicare tax,8959:24:00,Num,
A85530,Additional Medicare tax,8959:24:00,Num,
N85300,Number of returns with net investment income tax,8960:17:00,Num,
A85300,Net investment income tax,8960:17:00,Num,
N11901,Number of returns with tax due at time of filing,1040:22:00,Num,
A11901,Tax due at time of filing amount [12]  ,1040:22:00,Num,
N11900,Number of returns with total overpayments,1040:19:00,Num,
A11900,Total overpayments amount,1040:19:00,Num,
N11902,Number of returns with overpayments refunded,1040:20a,Num,
A11902,Overpayments refunded amount [13]  ,1040:20a,Num,
N12000,Number of returns with credit to next year’s estimated tax,1040:21:00,Num,
A12000,Credited to next year’s estimated tax amount,1040:21:00,Num,
