State,2018_Percent of AGI,"2018_Single 
Persons",2018_Married Persons Filing Separately,2018_Married Persons Filing Jointly,"2018_Heads of 
Household",2017_Percent of AGI,"2017_Single 
Persons",2017_Married Persons Filing Separately,2017_Married Persons Filing Jointly,"2017_Heads of 
Household",2016_Percent of AGI,"2016_Single 
Persons",2016_Married Persons Filing Separately,2016_Married Persons Filing Jointly,"2016_Heads of 
Household",2015_Percent of AGI,"2015_Single 
Persons",2015_Married Persons Filing Separately,2015_Married Persons Filing Jointly,"2015_Heads of 
Household",2012_Percent of AGI,"2012_Single 
Persons",2012_Married Persons Filing Separately,2012_Married Persons Filing Jointly,"2012_Heads of 
Household",2011_Percent of AGI,"2011_Single 
Persons",2011_Married Persons Filing Separately,2011_Married Persons Filing Jointly,"2011_Heads of 
Household",2010_Percent of AGI,"2010_Single 
Persons",2010_Married Persons Filing Separately,2010_Married Persons Filing Jointly,"2010_Heads of 
Household",2009_Percent of AGI,"2009_Single 
Persons",2009_Married Persons Filing Separately,2009_Married Persons Filing Jointly,"2009_Heads of 
Household",2008_Percent of AGI,"2008_Single 
Persons",2008_Married Persons Filing Separately,2008_Married Persons Filing Jointly,"2008_Heads of 
Household",2007_Percent of AGI,"2007_Single 
Persons",2007_Married Persons Filing Separately,2007_Married Persons Filing Jointly,"2007_Heads of 
Household",2006_Percent of AGI,"2006_Single 
Persons",2006_Married Persons Filing Separately,2006_Married Persons Filing Jointly,"2006_Heads of 
Household",2003_Percent of AGI,"2003_Single 
Persons",2003_Married Persons Filing Separately,2003_Married Persons Filing Jointly,"2003_Heads of 
Household"
FEDERAL,,"$12,000 ","$12,000 ","$24,000 ","$18,000 ",,"$6,500 ","$6,500 ","$12,700 ","$9,550 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",Percent of AGI,"$5,950 ","$5,950 ","$11,900 ","$8,700 ",,"$5,800 ","$5,800 ","$11,600 ","$8,500 ",,"$5,700 ","$5,700 ","$11,400 ","$8,400 ",,"$5,700 ","$5,700 ","$11,400 ","$8,350 ",,"$5,450 ","$5,450 ","$10,900 ","$8,000 ",,"$5,350 ","$5,350 ","$10,700 ","$7,850 ",,"$5,150 ","$5,150 ","$10,300 ","$7,550 ",,"$4,750 ","$4,750 ","$9,500 ","$7,000 "
Alabama 1,,"$2,000 – $2,500","$2,000 – $3,750","$4,000 – $7,500","$2,000 – $4,700",,"$2,000 – $2,500","$2,000 – $3,750","$4,000 – $7,500","$2,000 – $4,700",,"$2,000 – $2,500","$2,000 – $3,750","$4,000 – $7,500","$2,000 – $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 - $2,500","$2,000 - $3,750","$4,000 - $7,500","$2,000 - $4,700",,"$2,000 max","$2,000 max","$4,000 max","$2,000 max",,"$2,000 max","$2,000 max","$4,000 max","$2,000 max"
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,"$5,312 ","$5,312 ","$10,613 ","$10,613 ",,"$5,183 ","$5,183 ","$10,336 ","$10,336 ",,"$5,099 ","$5,099 ","$10,189 ","$10,189 ",,"$5,091 ","$5,091 ","$10,173 ","$10,173 ",,"$4,833 ","$4,833 ","$9,665 ","$9,665 ",,"$4,703 ","$4,703 ","$9,406 ","$9,406 ",,"$4,677 ","$4,677 ","$9,354 ","$9,354 ",,"$4,677 ","$4,677 ","$9,354 ","$9,354 ",,"$4,521 ","$4,521 ","$9,042 ","$9,042 ",,"$4,373 ","$4,373 ","$8,745 ","$8,745 ",,"$4,125 ","$4,125 ","$8,250 ","$8,250 ",,"$4,050 ","$4,050 ","$8,100 ","$8,100 "
Arkansas,,"$2,200 ","$2,200 ","$4,400 ","$2,200 ",,"$2,200 ","$2,200 ","$4,400 ","$2,200 ",,"$2,200 ","$2,200 ","$4,400 ","$2,200 ",,"$2,200 ","$2,200 ","$4,400 ","$2,200 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 ",,"$2,000 ","$2,000 ","$4,000 ","$2,000 "
California,,"$4,401 ","$4,401 ","$8,802 ","$8,802 ",,"$4,236 ","$4,236 ","$8,472 ","$8,472 ",,"$4,129 ","$4,129 ","$8,258 ","$8,258 ",,"$4,044 ","$4,044 ","$8,088 ","$8,088 ",,"$3,841 ","$3,841 ","$7,682 ","$7,682 ",,"$3,769 ","$3,769 ","$7,538 ","$7,538 ",,"$3,670 ","$3,670 ","$7,340 ","$7,340 ",,"$3,637 ","$3,637 ","$7,274 ","$7,274 ",,"$3,692 ","$3,692 ","$7,384 ","$7,384 ",,"$3,516 ","$3,516 ","$7,032 ","$7,032 ",,"$3,254 ","$3,254 ","$6,508 ","$6,508 ",,"$3,070 ","$3,070 ","$6,140 ","$6,140 "
Colorado,,"$12,000 ","$12,000 ","$24,000 ","$18,000 ",,"$6,500 ","$6,500 ","$12,700 ","$9,550 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$5,950 ","$5,950 ","$11,900 ","$8,700 ",,"$5,800 ","$5,800 ","$11,600 ","$8,500 ",,"$5,700 ","$5,700 ","$11,400 ","$8,400 ",,"$5,700 ","$5,700 ","$11,400 ","$8,350 ",,"$5,450 ","$5,450 ","$10,900 ","$8,000 ",,"$5,350 ","$5,350 ","$10,700 ","$7,850 ",,"$5,150 ","$5,150 ","$10,300 ","$7,550 ",,"$4,750 ","$4,750 ","$9,500 ","$7,000 "
Connecticut ,,,,,,,"$0 – $15,000","$0 – $12,000","$0 – $24,000","$0 – $19,000",,"$0 – $15,000","$0 – $12,000","$0 – $24,000","$0 – $19,000",,"$0 - $14,500","$2,000 - $12,000","$0 - $24,000","$0 - $19,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,150 ","$5,150 ","$10,300 ","$7,550 ",,"$4,750 ","$4,750 ","$9,500 ","$7,000 "
Delaware,,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 ",,"$3,250 ","$3,250 ","$6,500 ","$3,250 "
District of Columbia ,,"$12,000 ","$12,000 ","$24,000 ","$18,000 ",,"$5,650 ","$5,650 ","$10,275 ","$7,800 ",,"$5,200 ","$5,200 ","$8,350 ","$6,500 ",,"$5,200 ","$5,200 ","$8,350 ","$6,500 ",,"$4,000 ","$2,000 ","$4,000 ","$4,000 ",,"$4,000 ","$2,000 ","$4,000 ","$4,000 ",,"$4,000 ","$2,000 ","$4,000 ","$4,000 ",,"$4,000 ","$2,000 ","$4,000 ","$4,000 ",,"$4,000 ","$2,000 ","$4,000 ","$4,000 ",,"$2,500 ","$1,250 ","$2,500 ","$2,500 ",,"$2,500 ","$1,250 ","$2,500 ","$2,500 ",,"$2,000 ","$1,000 ","$2,000 ","$2,000 "
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,"$4,600 ","$3,000 ","$6,000 ","$4,600 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 ",,"$2,300 ","$1,500 ","$3,000 ","$2,300 "
Hawaii,,"$2,200 ","$2,200 ","$4,400 ","$3,212 ",,"$2,200 ","$2,200 ","$4,400 ","$3,212 ",,"$2,200 ","$2,200 ","$4,400 ","$3,212 ",,"$2,200 ","$2,200 ","$4,400 ","$3,212 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$2,000 ","$2,000 ","$4,000 ","$2,920 ",,"$1,500 ",$950 ,"$1,900 ","$1,650 ",,"$1,500 ",$950 ,"$1,900 ","$1,650 "
Idaho,,"$12,000 ","$12,000 ","$24,000 ","$18,000 ",,"$6,500 ","$6,500 ","$12,700 ","$9,550 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$5,950 ","$5,950 ","$11,900 ","$8,700 ",,"$5,800 ","$5,800 ","$11,600 ","$8,500 ",,"$5,700 ","$5,700 ","$11,400 ","$8,400 ",,"$5,700 ","$5,700 ","$11,400 ","$8,350 ",,"$5,450 ","$5,450 ","$10,900 ","$8,000 ",,"$5,350 ","$5,350 ","$10,700 ","$7,850 ",,"$5,150 ","$5,150 ","$10,300 ","$7,550 ",,"$4,750 ","$4,750 ","$9,500 ","$7,000 "
Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,"$2,030 ","$5,000 ","$5,000 ","$2,030 ",,"$2,000 ","$2,000 ","$4,920 ","$2,000 ",,"$1,970 ","$1,970 ","$4,860 ","$4,860 ",,"$1,950 ","$1,950 ","$4,810 ","$4,810 ",,"$1,860 ","$1,860 ","$4,590 ","$4,590 ",,"$1,810 ","$1,810 ","$4,460 ","$4,460 ",,"$1,810 ","$1,810 ","$4,460 ","$4,460 ",,"$1,780 ","$1,780 ","$4,390 ","$4,390 ",,"$1,750 ","$1,750 ","$4,310 ","$4,310 ",,"$1,700 ","$1,700 ","$4,200 ","$4,200 ",,"$1,650 ","$1,650 ","$4,060 ","$4,060 ",,"$1,550 ","$1,550 ","$3,830 ","$3,830 "
Kansas,,"$3,000 ","$3,750 ","$7,500 ","$5,500 ",,"$3,000 ","$3,750 ","$7,500 ","$5,500 ",,"$3,000 ","$3,750 ","$7,500 ","$5,500 ",,"$3,000 ","$3,750 ","$7,500 ","$5,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 ",,"$3,000 ","$3,000 ","$6,000 ","$4,500 "
Kentucky,,"$2,530 ","$2,530 ","$2,530 ","$2,530 ",,"$2,460 ","$2,460 ","$2,460 ","$2,460 ",,"$2,460 ","$2,460 ","$2,460 ","$2,460 ",,"$2,440 ","$2,440 ","$2,440 ","$2,440 ",,"$2,290 ","$2,290 ","$2,290 ","$2,290 ",,"$2,240 ","$2,240 ","$2,240 ","$2,240 ",,"$2,210 ","$2,210 ","$2,210 ","$2,210 ",,"$2,190 ","$2,190 ","$2,190 ","$2,190 ",,"$2,100 ","$2,100 ","$2,100 ","$2,100 ",,"$2,050 ","$2,050 ","$2,050 ","$2,050 ",,"$1,970 ","$1,970 ","$1,970 ","$1,970 ",,"$1,830 ","$1,830 ","$1,830 ","$1,830 "
Louisiana 2,,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 ",,"$4,500 ","$4,500 ","$9,000 ","$9,000 "
Maine 1,,"$0-$12,000","$0-$12,000","$0-$24,000","$0-$18,000",,"$11,600 – $14,700","$11,600 – $16,600","$23,200 – $28,200","$17,400 – $20,500",,"$11,600 – $14,700","$11,600 – $16,600","$23,200 – $28,200","$17,400 – $20,500",15%,"$6,300 ","$6,300 ","$12,600 ","$9,250 ",,"$5,950 ","$5,950 ","$11,900 ","$8,700 ",,"$5,800 ","$4,825 ","$9,650 ","$8,500 ",,"$5,700 ","$4,775 ","$9,550 ","$8,400 ",,"$5,700 ","$4,750 ","$9,500 ","$8,350 ",,"$5,450 ","$4,550 ","$9,100 ","$8,000 ",,"$5,350 ","$4,450 ","$8,900 ","$7,850 ",,"$5,150 ","$4,300 ","$8,600 ","$7,550 ",,"$4,750 ","$3,975 ","$7,950 ","$7,000 "
