Month,Less than a high school diploma,"High school graduates, no college",Some college or associate degree,Bachelor's degree and higher
Oct-00,6.4,3.6,2.4,1.6
Nov-00,6.5,3.5,2.6,1.5
Dec-00,5.9,3.5,2.7,1.5
Jan-01,6.7,3.8,3,1.6
Feb-01,7.5,3.7,2.8,1.6
Mar-01,6.8,3.8,2.7,2
Apr-01,6.8,3.7,2.9,2.1
May-01,6.6,3.9,3,2.1
Jun-01,6.9,3.8,3,2.2
Jul-01,6.8,4.1,3,2.2
Aug-01,7.2,4.4,3.3,2.3
Sep-01,7.7,4.4,3.4,2.5
Oct-01,7.6,4.7,4.1,2.6
Nov-01,8,5,4.2,2.9
Dec-01,8.3,4.9,4.2,3
Jan-02,8.2,5.3,4.3,2.9
Feb-02,8.3,5.3,4.2,2.9
Mar-02,8.1,5.4,4.3,2.8
Apr-02,9.1,5.5,4.6,2.9
May-02,8.3,5.5,4.8,2.9
Jun-02,7.8,5.4,4.6,3
Jul-02,8.6,5.1,4.4,3
Aug-02,8.4,5.2,4.4,2.8
Sep-02,7.8,5,4.6,2.9
Oct-02,8.7,4.9,4.6,3
Nov-02,9,5.2,4.7,2.9
Dec-02,8.9,5.3,4.9,2.9
Jan-03,8.8,5.2,4.7,3
Feb-03,8.9,5.4,4.7,3
Mar-03,8.6,5.5,4.8,3.1
Apr-03,8.5,5.7,4.8,3
May-03,9,5.6,4.9,3
Jun-03,9.4,5.7,4.9,3.1
Jul-03,8.8,5.4,5,3.1
Aug-03,9.3,5.4,4.9,3.2
Sep-03,8.6,5.3,4.9,3.2
Oct-03,9,5.5,4.8,3.1
Nov-03,8.7,5.3,4.7,3.1
Dec-03,7.9,5.4,4.4,3
Jan-04,9.1,4.9,4.5,2.9
Feb-04,8.6,5,4.3,2.9
Mar-04,8.8,5.3,4.7,2.9
Apr-04,8.6,5.3,4.1,2.9
May-04,8.8,5.1,4,2.9
Jun-04,8.7,5.2,4.1,2.7
Jul-04,8.2,5,4.2,2.6
Aug-04,8.1,4.9,4.1,2.7
Sep-04,8.7,4.7,4.1,2.6
Oct-04,8.4,4.8,4.2,2.5
Nov-04,8,4.8,4.3,2.5
Dec-04,8.1,4.8,4.2,2.5
Jan-05,7.7,4.7,4.1,2.4
Feb-05,7.8,4.9,4.2,2.4
Mar-05,7.8,4.7,3.9,2.4
Apr-05,8.2,4.4,3.9,2.4
May-05,7.8,4.5,3.9,2.4
Jun-05,6.9,4.8,3.9,2.3
Jul-05,7.5,4.8,3.7,2.3
Aug-05,7.5,4.7,3.5,2.1
Sep-05,8.2,4.9,3.7,2.3
Oct-05,7.3,4.8,3.8,2.3
Nov-05,7.4,4.8,3.9,2.3
Dec-05,7.4,4.5,3.9,2.1
Jan-06,7,4.4,3.6,2.1
Feb-06,7.1,4.4,3.6,2.2
Mar-06,6.9,4.1,3.7,2.2
Apr-06,6.9,4.4,3.8,2.2
May-06,7,4.3,3.8,2.1
Jun-06,7.1,4.1,3.5,2.1
Jul-06,7.1,4.5,3.6,2
Aug-06,6.8,4.6,3.5,1.8
Sep-06,6.4,4.1,3.6,2.1
Oct-06,5.8,4.1,3.4,1.9
Nov-06,6.6,4.3,3.4,1.8
Dec-06,6.7,4.3,3.4,1.8
Jan-07,6.9,4.3,3.8,2.1
Feb-07,7.3,4.3,3.6,1.9
Mar-07,6.9,4,3.6,1.8
Apr-07,7.1,4.1,3.6,1.9
May-07,6.6,4.4,3.4,2
Jun-07,6.7,4.1,3.5,2
Jul-07,7.3,4.6,3.6,2.1
Aug-07,6.5,4.4,3.6,2.1
Sep-07,7.6,4.5,3.4,2
Oct-07,7.3,4.6,3.5,2.1
Nov-07,7.7,4.5,3.3,2.2
Dec-07,7.7,4.7,3.8,2.1
Jan-08,7.7,4.7,3.7,2.1
Feb-08,7.4,4.7,3.8,2
Mar-08,8.4,5.1,3.9,2.1
Apr-08,7.7,5,4,2.1
May-08,8.1,5,4.3,2.2
Jun-08,8.7,5.1,4.3,2.4
Jul-08,8.6,5.4,4.6,2.5
Aug-08,9.7,5.8,4.9,2.8
Sep-08,9.8,6.2,5,2.6
Oct-08,10.3,6.4,5.2,3.1
Nov-08,10.8,7,5.5,3.2
Dec-08,11.1,7.8,5.7,3.6
Jan-09,12.4,8.2,6.5,3.9
Feb-09,13.2,8.5,7.3,4.1
Mar-09,14,9.2,7.5,4.3
Apr-09,14.9,9.5,7.7,4.4
May-09,15.2,10,7.8,4.8
Jun-09,15.6,9.7,8.1,4.8
Jul-09,15.3,9.5,8,4.8
Aug-09,15.6,9.7,8.1,4.8
Sep-09,14.9,10.6,8.3,5
Oct-09,15.2,11,8.7,4.7
Nov-09,14.7,10.3,8.8,4.8
Dec-09,15,10.6,8.7,4.9
Jan-10,15.3,10.2,8.6,4.9
Feb-10,15.8,10.7,8.1,4.9
Mar-10,14.9,11,8.4,4.9
Apr-10,14.7,10.8,8.4,4.8
May-10,14.6,10.9,8.2,4.6
Jun-10,14.2,10.6,8.1,4.4
Jul-10,13.5,10,8.3,4.5
Aug-10,14.1,10,8.7,4.6
Sep-10,15.6,9.7,8.9,4.5
Oct-10,15,9.8,8.2,4.6
Nov-10,15.4,10,8.6,5
Dec-10,15,9.8,8.1,4.8
Jan-11,14.3,9.5,8.1,4.3
Feb-11,14,9.7,7.9,4.3
Mar-11,14.1,9.7,7.5,4.4
Apr-11,14.7,9.9,7.5,4.5
May-11,14.5,9.6,7.8,4.5
Jun-11,14.4,10,8.3,4.3
Jul-11,14.5,9.1,8.3,4.2
Aug-11,14.1,9.3,8.3,4.2
Sep-11,14.3,9.4,8.5,4.2
Oct-11,13.5,9.4,8.1,4.3
Nov-11,12.8,8.8,7.7,4.4
Dec-11,13.7,8.7,7.6,4.1
Jan-12,13,8.5,7.1,4.3
Feb-12,13.1,8.3,7.2,4.2
Mar-12,12.8,8.1,7.5,4.1
Apr-12,12.5,8,7.6,4
May-12,12.9,8.3,7.7,3.9
Jun-12,12.6,8.6,7.3,4
Jul-12,12.4,8.5,7.2,4.1
Aug-12,11.8,8.6,6.7,4.1
Sep-12,11.7,8.5,6.6,4
Oct-12,12.1,8.3,6.9,3.7
Nov-12,12,8,6.5,3.9
Dec-12,11.8,8,6.9,4
Jan-13,12,8.1,6.9,3.8
Feb-13,11.3,7.9,6.5,3.9
Mar-13,11.1,7.7,6.3,3.8
Apr-13,11.6,7.5,6.4,3.9
May-13,11,7.3,6.5,3.9
Jun-13,10.7,7.7,6.5,3.8
Jul-13,10.8,7.5,6.1,3.8
Aug-13,11.1,7.4,6.1,3.4
Sep-13,10.5,7.6,6.1,3.7
Oct-13,10.9,7.2,6.4,3.7
Nov-13,10.7,7.2,6.4,3.4
Dec-13,9.8,7,6.2,3.3
Jan-14,9.4,6.5,5.9,3.3
Feb-14,9.8,6.4,6,3.4
Mar-14,9.4,6.3,6,3.4
Apr-14,8.7,6.2,5.7,3.3
May-14,9.2,6.5,5.5,3.2
Jun-14,9.2,5.9,5.2,3.3
Jul-14,9.5,6.1,5.3,3.1
Aug-14,9.2,6.1,5.3,3.2
Sep-14,8.5,5.4,5.4,2.9
Oct-14,8.1,5.7,4.9,3
Nov-14,8.6,5.7,4.9,3.2
Dec-14,8.6,5.3,5,2.8
Jan-15,8.3,5.4,5.2,2.8
Feb-15,8.2,5.4,5,2.7
Mar-15,8.6,5.3,4.8,2.4
Apr-15,8.4,5.5,4.7,2.7
May-15,8.7,5.8,4.4,2.8
Jun-15,8.2,5.4,4.2,2.5
Jul-15,8.3,5.5,4.3,2.5
Aug-15,7.9,5.5,4.3,2.4
Sep-15,7.9,5.3,4.3,2.5
Oct-15,7.6,5.2,4.4,2.5
Nov-15,6.8,5.4,4.4,2.5
Dec-15,6.4,5.6,4.1,2.5
Jan-16,7.1,5.2,4.2,2.5
Feb-16,7,5.2,4.2,2.5
Mar-16,7.3,5.3,4.1,2.6
Apr-16,7.6,5.5,4.2,2.4
May-16,7.5,5.1,3.9,2.5
Jun-16,7.6,5.1,4.2,2.5
Jul-16,6.5,5.1,4.2,2.5
Aug-16,7.4,5,4.2,2.6
Sep-16,8.5,5.3,4.2,2.5
Oct-16,7.4,5.4,3.9,2.6
Nov-16,7.8,5,3.9,2.4
Dec-16,7.5,5.1,3.8,2.5
Jan-17,7.4,5.2,3.8,2.5
Feb-17,7.7,4.9,4,2.4
Mar-17,6.6,4.9,3.7,2.4
Apr-17,6.4,4.6,3.7,2.5
May-17,6.3,4.8,4.1,2.3
Jun-17,6.5,4.6,3.8,2.3
Jul-17,7.1,4.5,3.7,2.3
Aug-17,6.1,5.1,3.7,2.4
Sep-17,6.7,4.4,3.6,2.3
Oct-17,5.9,4.2,3.7,2.1
Nov-17,5.2,4.4,3.6,2.1
Dec-17,6.2,4.2,3.6,2.2
Jan-18,5.4,4.4,3.4,2.1
Feb-18,5.7,4.4,3.5,2.2
Mar-18,5.5,4.3,3.5,2.2
Apr-18,5.8,4.3,3.4,2.1
May-18,5.5,3.9,3.3,2
Jun-18,5.5,4.1,3.3,2.3
Jul-18,5.2,4.1,3.2,2.2
Aug-18,5.7,3.9,3.5,2
Sep-18,5.7,3.8,3.2,2
Oct-18,5.9,4,3.1,2
Nov-18,5.6,3.5,3.1,2.2
Dec-18,5.8,3.8,3.3,2.2
Jan-19,5.7,3.7,3.4,2.4
Feb-19,5.3,3.7,3.1,2.2
Mar-19,5.8,3.7,3.4,2
Apr-19,5.3,3.4,3.1,2.1
May-19,5.4,3.6,2.8,2.1
Jun-19,5.3,3.9,3,2.1
Jul-19,5.2,3.6,3.2,2.1
Aug-19,5.4,3.6,3,2.1
Sep-19,4.8,3.6,2.9,2
Oct-19,5.5,3.7,2.8,2.1
Nov-19,5.3,3.7,2.9,2
Dec-19,5.2,3.7,2.7,1.9
Jan-20,5.5,3.8,2.8,2
Feb-20,5.7,3.6,3,1.9
Mar-20,6.8,4.4,3.7,2.5
Apr-20,21.2,17.3,15,8.4
May-20,19.9,15.3,13.3,7.4
Jun-20,16.6,12.1,10.9,6.9
Jul-20,15.4,10.8,10,6.7
Aug-20,12.6,9.8,8,5.3
Sep-20,10.6,9,8.1,4.8
Oct-20,9.8,8.1,6.5,4.2
,,,,
,,,,
RECOMMEND THIS PAGE USING:,,,,
,,,,
Facebook,,,,
,,,,
Twitter,,,,
,,,,
LinkedIn,,,,
Home,,,,
